bqcg 阿尔巴尼亚
sqdf 板儿砖
srgg 板球
sgrr 板球拍
sraf 板鞋
srdf 板砖
thsc 版权
tstk 版权符号
ewwc 办公
ewso 办公楼
ewpk 办公室职员
utwq 半身像
ugyw 半夜
dteg 帮助
wyjq 傍晚
sdkb 棒啊
sdsd 棒棒
sskd 棒棒哒
ssrq 棒棒的
ssoo 棒棒糖
sdgg 棒球
sgmh 棒球帽
qnv 包
qnqn 包包
qnyj 包裹
qnwy 包含
qwyv 包含为正规子群
qwyg 包含为正规子群或等于
qnuf 包装
quwg 包装盒
aqoy 苞米
auqn 薄煎饼
wetg 保加利亚
wetl 保加利亚共和国
whgg 保龄球
whgu 保龄球瓶
wkpn 保密
pgpg 宝宝
pgmh 宝贝
pgwg 宝剑
pgua 宝瓶
pgdg 宝石
qnui 刨冰
rbut 报道
rbaq 报警
raos 报警灯
rbxq 报纸
rxug 报纸卷
rqrq 抱抱
rdgf 抱在一起
jakh 暴跌
jadx 暴龙
jaix 暴涨
ojus 爆辣
ooaw 爆米花
ojud 爆头
ojot 爆炸
ooey 爆炸脑
ooud 爆炸头
ojth 爆竹
eqbb 豹子
sdbb 杯子
uxfj 北韩
usce 北极熊
usce 北极熊脸
uscu 北极熊头
ucjq 北马里亚纳群岛
ucdg 北马其顿
ucdl 北马其顿共和国
uacd 北欧马克
ufqg 北朝鲜
tlyn 备忘
tyvi 备忘录
uxqn 背包
uxgk 背囊
mhfp 贝壳
mhps 贝宁
mpal 贝宁共和国
mhfa 贝塔
dfaj 奔
sttg 本科生
sgbb 本子
xegk 绷带
thlj 鼻
thoo 鼻炎
thbb 鼻子
tbjr 鼻子冒气
xtut 匕首
xxn 比
xdnx 比基尼
xxwg 比例
xtjf 比利时
xtjl 比利时王国
xxyx 比率
xpfa 比塞塔
xxpa 比赛
xxfp 比索
xctm 比特币
xxny 比心
xnrr 比心手势
xkrx 比中指
teb 笔
tejn 笔电
tysg 笔记本
tyse 笔记本电脑
tenm 笔刷
kfpy 鄙视
nkhw 壁虎
noqk 壁炉钟
xxoh 毕业
xomh 毕业帽
ufhv 闭眼
ufkh 闭嘴
xykg 编号
xyxk 编织
jyjg 蝙蝠
afoq 鞭炮
ydqn 扁面包
wgwg 便便
wgiv 便当
wiwg 便当盒
wgtg 便笺
wtoh 便利店
wtyo 便利商店
wgtw 便签
wgfg 便士
wgts 便条
wgaf 便鞋
ygjh 变形虫
yont 变性
sfyn 标记
sftw 标签
stdm 标签页
sfyg 标语
syth 标语牌
gdtw 表面积分
geip 表演
gias 表演艺术
gern 表扬
kejf 别墅
kyyt 别说话
keqf 别针
prqn 宾馆
rwu 兵
uiy 冰
uivn 冰刀
uiqm 冰岛
uifp 冰壶
uiuf 冰激凌
uifn 冰块
uiuw 冰冷
uiis 冰淇淋
uigg 冰球
uiii 冰沙
uimm 冰山
uhid 冰上溜石
qnfg 饼干
uawy 并集
uggx 病毒
kqgw 啵儿一个
kgwh 啵一个
rtyt 播放
ryrq 播放按钮
ryaq 播放或暂停按钮
rylw 播放暂停
iby 波
ifva 波霸奶茶
iqtt 波多黎各
iblf 波黑
ibud 波兰
iual 波兰共和国
ibiy 波浪
iixg 波浪线
iigk 波浪型破折号
idaq 波斯菊
idnn 波斯尼亚和黑塞哥维那
idyg 波斯语
iglt 波形逻辑和
igla 波形逻辑或
gbgy 玻璃
ggsd 玻璃杯
ggtf 玻璃罐
ggua 玻璃瓶
gtxg 玻利维亚
aial 菠萝
wtux 伯利兹
fagx 博茨瓦纳
fagl 博茨瓦纳共和国
fcqn 博物馆
rfrn 搏动的心
irlg 泊车
dhi 不
dhsd 不棒
dqwy 不包含
dddh 不存在
dhqa 不错
ddgf 不大于
ddgg 不大于或等价于
ddgg 不大于或等于
ddgg 不大于也不小于
dhmy 不丹
dmgl 不丹王国
dtgf 不等于
dhna 不懂
dkwt 不颚化符
dygg 不方形像或等于
dygg 不方形原或等于
dheb 不服
dnrh 不敢看
dnsw 不敢相信
dyig 不高兴
duny 不关心
dhtg 不行
dhvb 不好
dvul 不好意思
dntg 不恒等于
drgf 不后于
drgg 不后于或等于
dirg 不渐近等于
drwg 不近似也不真实等于
dgny 不开心
dhrh 不看
dsny 不可以
dgqe 不理解
dhia 不满
djrr 不明白
djnc 不明飞行物
dcyu 不能说
dgtg 不平行
dgtg 不平行于
dhxk 不强
dxtg 不强制
ddpg 不确定
dnxj 不收费
dweb 不舒服
dngf 不属于
dngv 不属于正规子群
dhdr 不爽
dhyu 不说
dyyt 不说话
dhkr 不听
dmuj 不同意
dtgf 不先于
dtgg 不先于或等于
digf 不小于
digg 不小于或等价于
digg 不小于或等于
digg 不小于也不大于
dhni 不屑
dwwt 不信任
dhyt 不许
dsyu 不要说
dxtg 不约等于
dtdn 不赞成
dhfh 不真
dsbw 不整除
dggv 不正规子群
dggg 不正规子群或等于
dgdq 不正确
dyje 不证明
dtut 不知道
dhuw 不准
kseb 哺乳
kerw 哺乳的男人
kerw 哺乳的女人
kerw 哺乳的人
regu 捕鼠夹
rekk 捕鼠器
puwy 补集
dmhj 布
dmsg 布丁
dmtf 布告
dtth 布告牌
ddxf 布基纳法索
dbmp 布隆迪
dbml 布隆迪共和国
dxqm 布维岛
dfqm 布韦岛
mfop 财迷
esgk 彩带
estf 彩罐
esja 彩虹
ejyt 彩虹旗
essh 彩椒
eqdx 彩色碎纸
khes 踩
esmq 采购
esdo 采矿
aevn 菜刀
aesh 菜椒
aetj 菜篮
atbb 菜篮子
hqhw 餐具
gqut 残疾
guww 残疾人
gqee 残月
gqbu 残障
ncnd 惨剧
wben 仓鼠
weew 仓鼠脸
weud 仓鼠头
awjk 苍蝇
rrsf 操控杆
rwvc 操你妈
rxsf 操纵杆
assc 草本植物
ajaw 草花
ajat 草莓
aicg 草泥马
ajng 草屋
ajax 草药
twvc 肏你妈
wrto 侧手翻
dmrn 厕所
imjg 测量
ijqo 测量角度
cyi 叉
cycy 叉叉
cykg 叉号
ckrq 叉号按钮
cysy 叉梳
cgfp 叉型十字
rtnf 插层
rtty 插入
rtud 插头
sjyq 查询
sjra 查找
awsu 茶
awsd 茶杯
awfp 茶壶
awii 茶水
uaca 差劲
hxim 柴油
xxgk 缠绷带
xixg 缠满绷带
utkk 产品
qubb 铲子
igsc 常青树
tath 长鼻
ttbb 长鼻子
tfeq 长翅膀的钱
tatm 长笛
taoa 长度
tcox 长颈鹿
tafk 长鼓
tdbw 长胡子的女人
tbfq 长了翅膀的钱
teqk 长毛象
tdqn 长面包
tapu 长裙
tapu 长袜
taaf 长靴
fnyn 场记
fysr 场记板
iail 敞蓬小型载货卡车
kjsk 唱歌
fhbm 超出
fhoa 超度
fxdn 超级大坏蛋
fxus 超级辣
fxad 超级英雄
fhwy 超集
fwag 超集或等于
fweg 超集且不等于
fhsg 超酷
fhus 超辣
fcen 超能力
fhym 超市
kftt 嘲笑
lgnh 车
lllo 车轱辘
lglw 车轮
llbb 车轮子
lgsf 车票
lguh 车站
iplf 沉默
ipln 沉思
ppwg 衬衫领带
riwu 撑伞
tuxv 乘
tubw 乘除
tuif 乘法
tukg 乘号
tfse 乘雪橇
tuny 乘以
fdwk 城堡
fdym 城市
fywi 城市风光
fyaq 城市黄昏
fyjc 城市景观
dxwg 成比例
dnae 成功
dtlw 成年男人
dtln 成年男性
dtvw 成年女人
dtvn 成年女性
dnww 成人
swqc 橙色
sqdg 橙色大菱形
sqrn 橙色的书
sqrn 橙色的心
sqyf 橙色方块
sqag 橙色菱形
sqns 橙色书本
sqig 橙色小菱形
sqny 橙色心
sqlk 橙色圆
swny 橙心
tokm 程序员
tguf 秤
kxab 吃比萨
kxaq 吃比萨饼
ktrc 吃瓜
ktny 吃惊
ktdl 吃面
ktmw 吃肉
ktoo 吃糖
ktax 吃药
rrrr 魑魅魍魉
jghx 匙
jgbb 匙子
nyxe 迟缓
nybb 尺子
rrbb 搋子
hwlw 齿轮
fcey 翅膀
feqg 翅膀钱
fuwg 赤道几内亚
font 赤发
ukiy 冲浪
uift 冲浪者
mprd 崇拜
jhbb 虫子
rmol 抽烟
nilq 丑小鸭
then 臭鼬
bmlg 出国
bmif 出汗
bkde 出口成脏
bmug 出拳
btkk 出入口
bmtg 出生
btlg 出租车
dgjg 厨师
qeud 锄头
bwgs 除
bwif 除法
bwkg 除号
bwny 除以
qvaq 雏菊
thyy 处方
thvv 处女
tvow 处女座
ppew 穿礼服的男人
ppew 穿礼服的女人
panw 穿燕尾服的人
wksw 传呼机
wlxs 传输结束
wlfs 传输块结束
wffh 传真
wftk 传真符号
wfsw 传真机
tuwk 船
tuqa 船锚
kkhk 串
kkkk 串串
pwyn 窗户
osi 床
ohwt 床上休息
wsmh 创可贴
wkmh 创口贴
kqwr 吹风
kqrx 吹拂
kkrt 吹口气
tidn 垂涎三尺
tfik 垂直省略号
qtbb 锤子
qbrr 锤子扳手
qbtr 锤子和扳手
qbtq 锤子和镐
qbgr 锤子与扳手
qbgq 锤子与镐
dfek 唇
dfyp 唇膏
dfqg 唇印
duxx 磁
dugk 磁带
duen 磁力
dutu 磁盘
dudg 磁石
duqt 磁铁
dunt 磁性
hxnt 雌性
hxdc 雌雄
hdgq 雌雄互锁
hxth 此处
smqt 刺猬
jejd 蚝蛎
aqud 葱头
wttu 从条向上箭头
wttu 从条向上空心箭头
wttu 从条向下箭头
wttu 从条向右箭头
wttu 从条向左箭头
otkg 粗等号
oufk 粗美元符号
dhwy 存储
dhsi 存档
dhdh 存在
qajg 错
qakg 错号
qayk 错误
rsbb 搭梯子
twqa 答错
tqbn 答错了
twcf 答对
tcbn 答对了
dpos 达摩
doil 达摩法轮
rssr 打板
rsqn 打包
rjyt 打电话
rjyt 打电话给我
rcqq 打对钩
ryqw 打高尔夫的人
rxtr 打给我
rsqc 打勾
rsqq 打钩
rsfk 打鼓
rsiu 打滚
riqt 打滚儿
rkqw 打哈欠
rkqw 打呵欠
rsgb 打击
rsxf 打结
rsga 打开
rgrn 打开的书
rgrs 打开的书本
rgrq 打开的锁
rgrg 打开的文件夹
rgsa 打开框
rhht 打瞌睡
rtgg 打篮球
rsfl 打雷
rstd 打乱
rsku 打咩
rswq 打你
rkkf 打喷嚏
rsgg 打球
rswu 打伞
rsrv 打扫
rrgg 打手球
rttu 打算盘
rkrx 打响指
rsqg 打印
rqsw 打印机
rica 打游戏
rsrr 打折
rsqf 打针
rspb 打字
rsww 打坐
ddcn 大巴
drii 大白鲨
drqk 大白兔
ddwg 大便
ddqn 大饼
ddgl 大不列颠及北爱尔兰联合王国
dddg 大厨
debb 大肚子
ddtr 大鹅
drir 大反派
dyfn 大方块
ddwr 大风
ddgg 大夫
dwcq 大公鸡
dxot 大红灯笼
dxor 大红灯笼高高挂
dhlg 大卡车
ddkk 大哭
dkkw 大喇叭
ddiy 大浪
dduy 大门
ddoy 大米
doqn 大米饭
drrx 大拇指
drrh 大拇指向上
drrg 大拇指向下
drrh 大拇指朝上
drrg 大拇指朝下
dxcq 大母鸡
ddey 大脑
deoo 大脑爆炸
ddww 大人
ddqb 大厦夕阳
dmjb 大山日出
ddfn 大声
ddhi 大叔
ddsc 大树
ddaf 大蒜
duqf 大头针
ddev 大腿
ddgg 大王
dbpj 大卫之星
ddjg 大虾
ddqk 大象
digg 大小王
ddtt 大笑
dtrq 大笑的猫
ddpg 大写
dppx 大写字母
dqqt 大猩猩
dcqt 大熊猫
ditg 大学生
ddhv 大眼
djtg 大野牛
dujg 大音量
dgwg 大于但不等价于
dgwg 大于但不等于
dgtg 大于等于
dgtg 大于等于或小于
dgag 大于或等价于
dgag 大于或等于
dgag 大于或小于
ddfg 大雨
dllu 大圆圈
ddgh 大正
dgyg 大正方形
gcrt 带叉的投票箱
gbdl 带除左上象限外实心的圆圈
goxn 带粗线的竖直雄性
goxn 带粗线的水平雄性
goxu 带粗线的向右箭头
goxu 带粗线的向右双箭头
goxu 带粗线的向左箭头
goxu 带粗线的向左双箭头
goxn 带粗线的雄性
goxd 带粗线的雄性与雌雄
goxu 带粗线的左右箭头
goxu 带粗线的左右双箭头
gute 带单片眼镜的脸
ghdg 带点大于
ghrg 带点的大于
ghrq 带点的空心上指三角
ghrg 带点的小于
ghig 带点小于
ghll 带点圆圈
gcqt 带对钩的投票箱
gcqg 带对角线交叉填充符的方形
gyst 带方框乘
gysh 带方框点
gysq 带方框负
gyse 带方框加
gysu 带方框减
gysg 带方框正
gmmw 带骨肉
gjjb 带蝴蝶结的帽子
galy 带花园的楼房
ggst 带画框的图片
gxxg 带经纬线的地球
gued 带卷边的页面
guex 带卷边的纸
gsrg 带框的画
girt 带梁的八分音符
girt 带梁的十六分音符
gghl 带两点的空心圆圈
ggwl 带两个空心点的实心圆圈
gliq 带墨水笔的锁
gjau 带竖划的向右箭头
gjau 带竖划的向左箭头
gjau 带竖划的左右箭头
gjfg 带竖填充符的方形
gjfl 带竖填充符的圆圈
gcju 带双竖划的向右箭头
gcju 带双竖划的向左箭头
gcju 带双竖划的左右箭头
gigg 带水平填充符的方形
guqw 带头饰的女人
gkts 带吸管杯
gilu 带小圆圈的右箭头
gdxq 带有弧的右角
gdts 带有箭头的手机
gddq 带有右半实心的上指三角
gddq 带有左半实心的上指三角
gdhg 带右上到左下填充符的方形
gdhl 带右上象限实心的圆圈
gfhw 带雨点的雨伞
glhg 带圆点的菱形
glxq 带圆弧的直角
glqg 带圆角的空心方形
gllt 带圆圈乘
gllb 带圆圈除
gllg 带圆圈等于
gllh 带圆圈点
glla 带圆圈短划
gllq 带圆圈负
glle 带圆圈加
gllu 带圆圈减
gllj 带圆圈星
glll 带圆圈圆圈
gllg 带圆圈正
gfqg 带直角交叉填充符的方形
gkuj 带中间点的六芒星
gdhg 带左上到右下填充符的方形
frbw 戴瓜皮帽的人
fklh 戴口罩
fumh 戴头巾
fumw 戴头巾的男人
fumw 戴头巾的女人
fumw 戴头巾的人
fuxw 戴头纱的男人
fuxw 戴头纱的女人
fuxw 戴头纱的人
fqbw 戴兔耳朵的人
fgpw 戴王冠的人
fekw 戴助听器的耳朵
wsgg 袋棍球
waen 袋鼠
wabb 袋子
wyhh 贷记卡
mygt 丹麦
usif 单板滑雪
ujlg 单车
ujqt 单独
umcc 单峰骆驼
ujlv 单轨
ulqk 单轨铁路
uthq 单片眼镜
uufo 单亲二孩家庭
uugo 单亲一孩家庭
umtg 单曲循环
ujps 单蛇之杖
ujtf 单选
utrq 单选按钮
utsa 单选框
ujhv 单眼
uhwr 单眼偷看
uhkt 单眼吐舌
ufwt 单元分隔符
rjny 担心
rjnd 担忧
iaqn 淡蓝色的心
iaqn 淡蓝色心
iany 淡蓝心
nhju 蛋
nhqn 蛋饼
nhnh 蛋蛋
nhou 蛋糕
nvou 蛋奶糕
inqu 当心儿童
sipv 档案
vncy 刀叉
wqfc 倒钩朝上的向右鱼叉
wqfc 倒钩朝上的向左鱼叉
wqfc 倒钩朝下的向右鱼叉
wqfc 倒钩朝下的向左鱼叉
wqfc 倒钩朝右的向上鱼叉
wqfc 倒钩朝右的向下鱼叉
wqfc 倒钩朝左的向上鱼叉
wqfc 倒钩朝左的向下鱼叉
wglk 倒回
wffb 倒垃圾
wgew 倒脸
wgft 倒霉
wdqe 倒三角
wgvp 倒退
wvrq 倒退按钮
nftu 导航
nydg 导盲犬
rqnh 捣蛋
pytf 祷告
tetg 稻穗
tebb 稻子
utft 道教
utuv 道歉
tjgf 得
tjuj 得意
turq 得意的猫
tuft 得意地笑
tuqt 得意猫
tuqe 得意猫脸
tqfa 德尔塔
tqfg 德尔塔等于
tdru 德古拉
tflg 德国
tlwf 德国便士
trdc 德拉克马
tufn 德意志
tufd 德意志联邦
tufl 德意志联邦共和国
rqfg 的士
osh 灯
ostd 灯笼
otsh 灯笼椒
osiq 灯泡
ospy 灯神
wgsw 登机
wgmm 登山
wmaf 登山鞋
wmft 登山者
tfxx 等比
twgf 等价于
tqgc 等角到
tqgf 等角于
tfgf 等于
tgug 等于并平行于
tgdg 等于大于
tgkg 等于号
tgtg 等于和平行于
tgag 等于或大于
tgag 等于或后于
tgag 等于或先于
tgag 等于或小于
tgjk 等于冒号
tgig 等于小于
wgbb 凳子
wjjg 低电量
wyoa 低亮度
wyoq 低亮度按钮
wunw 低头忧伤
wujk 低音量的扬声器
iytl 滴血
tmbb 笛子
maeg 迪戈加西亚
maeq 迪戈加西亚岛
mdtu 迪斯科
mpgo 迪亚
oqpu 底裤
fbsr 地板
fbhk 地点
fbrc 地瓜
fbgg 地球
fghi 地球上的美洲
fghi 地球上的欧洲非洲
fghi 地球上的亚洲澳洲
fgwy 地球仪
fbqt 地铁
fblt 地图
fgqk 地下铁路
fbyg 地主
uxux 弟弟
txfg 第二
tfug 第二卷
txdg 第三
tdug 第三卷
tlug 第四卷
txgg 第一
tgug 第一卷
fhwg 颠倒
fwre 颠倒的脸
hkou 点
hktu 点乘
hkqm 点负
hqkg 点负号
hkgb 点击
hkek 点加
hkud 点减
hkoq 点燃
hkud 点头
hkny 点心
hkol 点烟
hktf 点赞
jnv 电
jrud 电插头
jnlg 电车
jnib 电池
jidk 电池不足
jijk 电池电量不足
jnos 电灯
joiq 电灯泡
jflg 电动车
jfls 电动轮椅
jnaa 电工
jnyt 电话
jykt 电话听筒
jytm 电话筒
jfwb 电吉他
jnsb 电极
jnjg 电量
jjwq 电量低
jney 电脑
jeit 电脑光盘
jeqt 电脑键盘
jees 电脑鼠标
jngu 电平
jgif 电平滑块
julg 电瓶车
jnpy 电视
jpsw 电视机
jnck 电台
jnsu 电梯
jntm 电筒
jnxg 电线
jnjy 电影
jjys 电影放映机
jjet 电影胶片
jjsf 电影票
jjrs 电影摄影机
jjbp 电影院
jnid 电源
jiru 电源插头
jbis 电子游戏手柄
jbmw 电子邮件
jnbe 电阻
umyt 凋谢
mfub 雕塑
kmth 吊牌
ymwq 调低
ymym 调高
ymug 调羹
ymab 调节
ymbn 调皮
ymng 调情
yqsr 调色板
yqtu 调色盘
ykkk 调味品
qqtf 钓竿
qqqg 钓鱼
qqtf 钓鱼竿
ksiv 叮当
sdmy 顶
sggh 顶一下
ptwv 定积分
pjkk 定时器
yvaa 订婚戒
tffb 丢垃圾
aiux 东北
aucu 东北双箭头
ayiy 东帝汶
ayil 东帝汶民主共和国
aiyi 东京
ayfa 东京塔
aifm 东南
afyu 东南方向箭头
afcu 东南双箭头
aaog 东萨摩亚
awtp 东叙利亚十字
agft 东正教
agfp 东正教十字
agfe 东正教十字架
uawg 冻僵
uwbn 冻僵了
uagq 冻死
ugbn 冻死了
fclg 动车
fccq 动物
fceq 动物脚印
imgk 洞
ftym 都市
fywi 都市风光
fyjc 都市景观
gkuf 豆
gkod 豆类
gkbb 豆子
kklg 嘟嘟车
qqul 独角兽
qque 独角兽脸
qquu 独角兽头
qstu 独木舟
ffbg 堵耳
fbws 堵耳朵
fhbw 堵上耳朵
fubw 堵着耳朵
fwbw 堵住耳朵
mffs 赌博
mffn 赌场
oawn 度假
iotu 渡船
iiqg 渡渡鸟
iolw 渡轮
tdvn 短刀
tdwg 短剑
tdqk 短句
tdpu 短裤
tdpu 短袜
tdpu 短袖
onql 断链
onyy 断言
thai 段落
xtgk 缎带
ffww 堆雪人
ukqb 兑
cfy 对
cdfh 对不起
cfqq 对钩
cfkg 对号
cysa 对话框
cyri 对话气泡
cfun 对决
cfry 对抗
cfjg 对虾
cogf 对应于
cfhk 对战
rfhd 盾
rfth 盾牌
qqsk 多哥
qsal 多哥共和国
qwut 多个音符
qone 多米尼加
qonl 多米尼加共和国
qond 多米尼克
qonl 多米尼克国
qnyl 多民族玻利维亚国
qjnl 多明尼加共和国
qqfc 多云
qtwy 多重集
qtww 多重集并集
qtwt 多重集乘积
qtjt 多重映射
wtlg 俄国
wldw 俄罗斯
wldd 俄罗斯联邦
wldd 俄罗斯卢布
wldv 俄罗斯套娃
vnee 娥眉月
jnee 蛾眉月
trng 鹅
tttr 鹅鹅鹅
drqq 厄瓜多尔
drql 厄瓜多尔共和国
ducg 厄立特里亚
ducl 厄立特里亚国
docb 厄米特共轭矩阵
kdbn 呃
kwtw 颚化符
qgtj 鳄梨
qgqg 鳄鱼
qtuj 儿童
quft 儿童过街
qtbb 儿子
bghg 耳
bgws 耳朵
bgsw 耳机
bgdx 耳聋
fgg 二
fghk 二点
fbpo 二孩家庭
ffhk 二十点
fuew 二头肌
fttw 二重积分
ntdd 发飙
ntmf 发财
ntbm 发出
nwfh 发传真
ntig 发光
nxqn 发红包
ntoo 发火
ntgu 发夹
ntwt 发件
nwts 发件箱
ntsf 发票
ntrv 发热
ntoa 发烧
ntrr 发誓
ntud 发送
ntwy 发信
ntaa 发芽
ntyy 发言
nmwt 发邮件
iagc 法蒂玛
iagr 法蒂玛之手
ifpn 法官
ifsj 法棍
iflg 法国
iliy 法国法郎
ilff 法国南方的领土
irxj 法拉费
iusg 法兰西
iusl 法兰西共和国
ifyv 法郎
iflw 法轮
ilvq 法罗群岛
iftv 法律
ifjg 法师
iatq 法式长棍面包
inig 法属波利尼西亚
infn 法属圭亚那
inff 法属南部领地
incs 法属圣马丁
mhtu 帆船
mhwu 帆伞
toae 番茄
trhv 翻白眼
trhq 翻白眼儿
tkud 翻跟头
ttuf 翻筋斗
toff 翻墙
atae 蕃茄
odgq 烦死
ogkr 烦死啦
ogbn 烦死了
ogww 烦死人
rrek 反白加重号
rrpl 反白空心圆圈
rrlf 反白圆圈二十
rrlf 反白圆圈零
rrlw 反白圆圈十八
rrlf 反白圆圈十二
rrlv 反白圆圈十九
rrlu 反白圆圈十六
rrla 反白圆圈十七
rrld 反白圆圈十三
rrll 反白圆圈十四
rrlg 反白圆圈十五
rrlg 反白圆圈十一
rccf 反对
rcir 反派
rdyw 反确认
rrwr 反手食指向上指
rrwr 反手食指向下指
rrwr 反手食指向右指
rrwr 反手食指向左指
rcle 反胃
rtcu 反向双竖条双右转门
rlkg 反转颚化符等于
rclk 返回
rltu 返回箭头
rlqv 返回键
samr 梵蒂冈
samf 梵蒂冈城
saml 梵蒂冈城国
ittu 泛舟
qtls 犯困
qnlf 饭团
yysr 方板
ytal 方程式赛车
yyfn 方块
yysa 方框
ysqm 方框负
ysek 方框加
ysud 方框减
ysgh 方框正
yyth 方片
yywu 方位
yytm 方向
yyga 方形
ygsd 方形杯
ygmh 方形帽
ygwq 方形像
ygwg 方形像或不等于
ygwg 方形像或等于
ygdr 方形原
ygdg 方形原或不等于
ygdg 方形原或等于
ynye 房
ynuy 房门
ynng 房屋
ynvt 房屋建筑
ynvt 房屋群
ynbb 房子
bjfs 防晒霜
bytt 防御
ytdd 放大
ydqu 放大镜
ywtq 放风筝
ytib 放射光线的实心太阳
ytnt 放射性
yfdk 放声大哭
ytrt 放手
ytsw 放松
ytjm 放映
yjsw 放映机
yuqd 放着勺的碗
ahss 菲林
atpr 菲律宾
atpf 菲律宾比索
atpl 菲律宾共和国
hisd 非常棒
hidg 非常大于
hiig 非常小于
hfwy 非超集
hfwg 非超集也不等于
hygg 非方形像或等于
hpqp 非礼勿视
hpqk 非礼勿听
hpqy 非礼勿言
hcju 非双竖条双右转门
hqei 非饮用水
hggg 非正规子群或等于
hdiy 非洲
hiai 非洲欧洲
hbwy 非子集
hbwg 非子集也不等于
nuqs 飞镖
nuda 飞碟
ntkm 飞行员
nusw 飞机
nsfn 飞机起飞
nsub 飞机着陆
nutu 飞盘
nfgk 飞去来器
nukq 飞吻
nyqs 飞旋镖
ecra 肥皂
erwg 肥皂盒
eriq 肥皂泡
